,Trial Accuracy,Window Accuracy,Mean Margin,Median Margin,Mean Pearson(att),Mean Pearson(unatt),Acc Drop,Margin Drop
Ch0,0.95,0.5938343834383438,0.01565082349188742,0.015370708890259266,0.038624150890245804,0.02297332739835838,0.050000000000000044,0.0064562634921458105
Ch1,1.0,0.6307380738073808,0.021668044297985033,0.02609745692461729,0.04407999278046191,0.022411948482476872,0.0,0.000439042686048198
Ch2,0.8,0.5686318631863186,0.01243413423653692,0.013799401000142097,0.04821911822073162,0.0357849839841947,0.19999999999999996,0.009672952747496312
Ch3,0.95,0.6298379837983799,0.02035938351182267,0.02706248126924038,0.04978479675482959,0.029425413243006914,0.050000000000000044,0.001747703472210562
Ch4,1.0,0.628037803780378,0.020340930682141333,0.02302684262394905,0.04920337595976889,0.028862445277627557,0.0,0.0017661563018918983
Ch5,0.95,0.6251125112511251,0.021163280738983305,0.023270460194908082,0.04642664720886387,0.025263366469880567,0.050000000000000044,0.0009438062450499267
Ch6,0.95,0.6021602160216022,0.017589788197074085,0.022424886003136635,0.04696141419699416,0.02937162599992007,0.050000000000000044,0.004517298786959147
Ch7,0.85,0.5978847884788479,0.020580815960420294,0.01865489361807704,0.03846851097769104,0.017887695017270742,0.15000000000000002,0.0015262710236129372
