,Channels Kept,Trial Accuracy,Window Accuracy,Mean Margin,Median Margin,Mean Pearson(att),Mean Pearson(unatt)
8 Channels,"[2, 0, 6, 4, 3, 7, 5, 1]",1.0,0.6298379837983799,0.02210708698403323,0.02441203035414219,0.051276708272052926,0.029169621288019698
6 Channels,"[2, 0, 6, 4, 3, 7]",0.95,0.6296129612961296,0.020856915006879716,0.024169293232262135,0.03973674038425088,0.01887982537737116
4 Channels,"[2, 0, 6, 4]",0.95,0.6075607560756076,0.019706070744723546,0.026080016512423754,0.024600424147502055,0.0048943534027785065
2 Channels,"[2, 0]",0.95,0.6023852385238524,0.01645201880892273,0.027805881429230794,0.025292062060907484,0.008840043251984753
1 Channels,[2],0.85,0.5738073807380738,0.009699818791705183,0.017883766733575612,0.016055550702731125,0.006355731911025941
