,Trial Accuracy,Window Accuracy,Mean Margin,Median Margin,Mean Pearson(att),Mean Pearson(unatt)
Delta (0.5-4Hz),0.55,0.5292529252925292,0.0018673826789381565,0.008486811071634293,0.024840296708862297,0.02297291402992414
Theta (4-8Hz),0.95,0.6188118811881188,0.021922041551442818,0.023905857815407217,0.044837271445430815,0.022915229893987997
Alpha (8-13Hz),1.0,0.6307380738073808,0.021933209005510435,0.024583742022514343,0.05105801821919158,0.029124809213681147
Beta (13-30Hz),1.0,0.6298379837983799,0.022116179010481574,0.02442810870707035,0.051283036492532116,0.029166857482050546
