Seed,Mean Accuracy,Mean Median Margin
1,0.71875,0.020802545710466802
123,0.8062499999999999,0.020301947428379208
21,0.78125,0.022647952660918236
42,0.75625,0.021557702450081706
7,0.79375,0.022175686055561528
