Window (s),Mean Accuracy (%),Std (%)
1,72.37500000000001,1.8392423711952672
2,75.0,0.7126096406869616
5,75.125,2.8062430400804526
10,77.125,3.1024184114977116
20,77.125,1.2562344526401101
30,76.5,2.2827477959687115
60,75.3125,2.57694101601104
